iter	Passed	Remaining
0	18	1794
1	35	1726
2	50	1631
3	68	1640
4	85	1621
5	104	1630
6	121	1612
7	140	1619
8	165	1670
9	186	1680
10	205	1661
11	226	1660
12	244	1635
13	261	1604
14	277	1571
15	294	1548
16	312	1524
17	327	1490
18	344	1467
19	363	1452
20	381	1436
21	399	1416
22	416	1394
23	433	1374
24	449	1348
25	464	1321
26	480	1298
27	497	1279
28	516	1265
29	536	1252
30	554	1233
31	573	1217
32	591	1199
33	609	1182
34	627	1165
35	644	1145
36	660	1124
37	677	1104
38	694	1086
39	712	1068
40	730	1051
41	748	1034
42	766	1015
43	784	998
44	801	979
45	819	962
46	837	944
47	854	925
48	871	906
49	889	889
50	908	872
51	926	854
52	943	836
53	960	818
54	979	801
55	995	782
56	1013	764
57	1030	746
58	1048	728
59	1068	712
60	1087	695
61	1103	676
62	1121	658
63	1139	640
64	1157	623
65	1175	605
66	1197	589
67	1215	571
68	1233	554
69	1251	536
70	1270	518
71	1288	500
72	1306	483
73	1325	465
74	1346	448
75	1362	430
76	1380	412
77	1398	394
78	1415	376
79	1432	358
80	1448	339
81	1466	321
82	1482	303
83	1500	285
84	1516	267
85	1534	249
86	1551	231
87	1567	213
88	1584	195
89	1600	177
90	1615	159
91	1631	141
92	1647	124
93	1662	106
94	1681	88
95	1699	70
96	1717	53
97	1732	35
98	1749	17
99	1766	0
